sku,product_name,category,units_sold,ending_inventory,sell_through_rate,inventory_turnover
84569C,PACK 4 FLOWER/BUTTERFLY PATCHES,home decor,1,37,0.02631578947368421,0.02666666666666667
85036a,GARDENIA 1 WICK MORRIS BOXED CANDLE,home decor,2,73,0.02666666666666667,0.02702702702702703
85035a,GARDENIA 3 WICK MORRIS BOXED CANDLE,home decor,2,71,0.0273972602739726,0.027777777777777776
AMAZONFEE,AMAZON FEE,other,2,70,0.027777777777777776,0.028169014084507043
35833G,4 GOLD FLOCK CHRISTMAS BALLS,seasonal,2,68,0.02857142857142857,0.028985507246376812
23643,SET 10 CARDS CHRISTMAS BAUBLE 16954,gift/decorative,1,34,0.02857142857142857,0.028985507246376812
47016,LIGHT DECORATION BATTERY OPERATED,home decor,2,67,0.028985507246376812,0.029411764705882353
90140,PINK SWEETIE NECKLACE,other,2,66,0.029411764705882353,0.029850746268656716
84802A,WHITE ANEMONE ARTIFICIAL FLOWER,home decor,2,66,0.029411764705882353,0.029850746268656716
20906,VINTAGE NOTEBOOK BEAUTY GIRL,stationery,3,97,0.03,0.030456852791878174
90026D,GLASS BEAD HOOP NECKLACE AMETHYST,kitchen,3,97,0.03,0.030456852791878174
85035c,ROSE 3 WICK MORRIS BOX CANDLE,home decor,1,32,0.030303030303030304,0.03076923076923077
90127A,PINK BEADS+HAND PHONE CHARM,other,2,63,0.03076923076923077,0.03125
90011C,GREEN CRYSTAL DROP EARRINGS,other,2,61,0.031746031746031744,0.03225806451612903
90026B,GLASS BEAD HOOP NECKLACE MONTANA,kitchen,3,90,0.03225806451612903,0.03278688524590164
gift_0001_40,Dotcomgiftshop Gift Voucher £40.00,gift/decorative,3,90,0.03225806451612903,0.03278688524590164
23628,SET 10 CARDS TRIANGLE ICONS  17220,gift/decorative,1,30,0.03225806451612903,0.03278688524590164
84977,WIRE FLOWER T-LIGHT HOLDER,home decor,1,30,0.03225806451612903,0.03278688524590164
90142A,GREEN PENDANT SHELL NECKLACE,stationery,1,30,0.03225806451612903,0.03278688524590164
B,Adjust bad debt,other,1,30,0.03225806451612903,0.03278688524590164
85047,WHITE BEADED GARLAND STRING 20LIGHT,home decor,3,89,0.03260869565217391,0.03314917127071823
84689,S/2 BEACH HUT TREASURE CHESTS,other,3,88,0.03296703296703297,0.0335195530726257
23635,SET 10 CARDS CHRISTMAS HOLLY  17259,gift/decorative,3,87,0.03333333333333333,0.03389830508474576
90152B,BLUE/GREEN SHELL NECKLACE W PENDANT,stationery,2,58,0.03333333333333333,0.03389830508474576
85031B,BLOSSOM IMAGES SCRAP BOOK SET,sets,1,29,0.03333333333333333,0.03389830508474576
84963B,BLUE PAINTED KASHMIRI CHAIR,other,3,86,0.033707865168539325,0.03428571428571429
85115B,S/4 BLACK DISCO PARTITION PANEL,kitchen,3,85,0.03409090909090909,0.03468208092485549
84596g,SMALL CHOCOLATES PINK BOWL,kitchen,3,84,0.034482758620689655,0.03508771929824561
85126,LARGE ROUND CUTGLASS CANDLESTICK,home decor,2,56,0.034482758620689655,0.03508771929824561
84968B,SET OF 16 VINTAGE IVORY CUTLERY,kitchen,2,56,0.034482758620689655,0.03508771929824561
90067B,BROWN VINTAGE VICTORIAN EARRINGS,other,2,56,0.034482758620689655,0.03508771929824561
51014c,"FEATHER PEN,COAL BLACK",stationery,1,28,0.034482758620689655,0.03508771929824561
84620,BLUE GINGHAM ROSE CUSHION COVER,other,2,55,0.03508771929824561,0.03571428571428571
90052,CRACKED GLAZE NECKLACE BROWN,other,2,55,0.03508771929824561,0.03571428571428571
90128D,PURPLE LEAVES AND BEADS PHONE CHAR,other,2,54,0.03571428571428571,0.03636363636363636
35650,VINTAGE BEAD PINK JEWEL STAND,other,1,27,0.03571428571428571,0.03636363636363636
85119,WATERING CAN SINGLE HOOK PISTACHIO,other,1,27,0.03571428571428571,0.03636363636363636
90025E,BAROQUE BUTTERFLY EARRINGS MONTANA,other,1,27,0.03571428571428571,0.03636363636363636
90130D,RED STONE/CRYSTAL EARRINGS,other,3,79,0.036585365853658534,0.037267080745341616
85224,ASSORTED COLOUR SILK GLASSES CASE,kitchen,3,78,0.037037037037037035,0.03773584905660377
84731,3 BIRDS CANVAS SCREEN,other,2,52,0.037037037037037035,0.03773584905660377
84562A,PINK/WHITE RIBBED MELAMINE JUG,other,3,77,0.0375,0.03821656050955414
21268,VINTAGE BLUE TINSEL REEL,kitchen,2,51,0.03773584905660377,0.038461538461538464
84971l,LARGE HEART FLOWERS HOOK   ,home decor,2,51,0.03773584905660377,0.038461538461538464
15060b,FAIRY CAKE DESIGN UMBRELLA,home decor,3,75,0.038461538461538464,0.0392156862745098
90084,PINK CRYSTAL GUITAR PHONE CHARM,other,1,25,0.038461538461538464,0.0392156862745098
90176E,DIAMANTE NECKLACE GREEN,other,4,99,0.038834951456310676,0.039603960396039604
23615,SET 10 CARDS PRINTED GRAPHIC 17219,gift/decorative,4,97,0.039603960396039604,0.04040404040404041
90026C,GLASS BEAD HOOP NECKLACE GREEN,kitchen,4,96,0.04,0.04081632653061224
47503J,SET/3 FLORAL GARDEN TOOLS IN BAG,bags,3,72,0.04,0.04081632653061224
90034,WHITE SILVER NECKLACE SHELL GLASS,kitchen,2,48,0.04,0.04081632653061224
22016,Dotcomgiftshop Gift Voucher £100.00,gift/decorative,1,24,0.04,0.04081632653061224
35004P,SET OF 3 PINK FLYING DUCKS,sets,1,24,0.04,0.04081632653061224
23604,SET 10 MINI SANTA & SNOWMAN  17087,seasonal,4,95,0.04040404040404041,0.041237113402061855
90074,BLACK DIAMOND CLUSTER NECKLACE,other,4,95,0.04040404040404041,0.041237113402061855
82613b,"METAL SIGN,CUPCAKE SINGLE HOOK",home decor,4,95,0.04040404040404041,0.041237113402061855
90025F,BAROQUE BUTTERFLY EARRINGS CRYSTAL,other,4,95,0.04040404040404041,0.041237113402061855
DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,home decor,3,71,0.04054054054054054,0.041379310344827586
84660b,BLACK STITCHED WALL CLOCK,home decor,2,47,0.04081632653061224,0.041666666666666664
85049d,BRIGHT BLUES RIBBONS ,gift/decorative,2,47,0.04081632653061224,0.041666666666666664
90026A,GLASS BEAD HOOP NECKLACE BLACK,kitchen,2,47,0.04081632653061224,0.041666666666666664
90024C,NEW BAROQUE B'FLY NECKLACE GREEN,other,4,91,0.042105263157894736,0.043010752688172046
90016C,SILVER/BLACK PENDANT ORBIT NECKLACE,stationery,3,68,0.04225352112676056,0.04316546762589928
90069,RUBY GLASS CLUSTER NECKLACE,kitchen,2,45,0.0425531914893617,0.043478260869565216
90048,GREEN WITH METAL BAG CHARM,bags,3,66,0.043478260869565216,0.044444444444444446
90128A,PINK LEAVES AND BEADS PHONE CHARM,other,3,65,0.04411764705882353,0.045112781954887216
90077,BLACK DIAMOND CLUSTER EARRINGS,other,3,64,0.04477611940298507,0.04580152671755725
gift_0001_50,Dotcomgiftshop Gift Voucher £50.00,gift/decorative,4,84,0.045454545454545456,0.046511627906976744
35597B,BLACKCHRISTMAS TREE 30CM,seasonal,1,21,0.045454545454545456,0.046511627906976744
84795C,OCEAN STRIPE HAMMOCK ,other,2,41,0.046511627906976744,0.047619047619047616
85034a,3 GARDENIA MORRIS BOXED CANDLES,home decor,3,61,0.046875,0.048
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",home decor,5,97,0.049019607843137254,0.05025125628140704
90131,PINK/AMETHYST/GOLD NECKLACE,other,5,97,0.049019607843137254,0.05025125628140704
84968d,SET OF 16 VINTAGE RED CUTLERY,kitchen,3,58,0.04918032786885246,0.05042016806722689
84536b,FAIRY CAKES NOTEBOOK A7 SIZE,kitchen,5,96,0.04950495049504951,0.050761421319796954
72807b,SET/3 OCEAN SCENT CANDLE JEWEL BOX,home decor,4,76,0.05,0.05128205128205128
84975,HEART SHAPED MIRROR,home decor,5,94,0.050505050505050504,0.05181347150259067
21661,VINTAGE GLASS TEA CADDY,kitchen,3,56,0.05084745762711865,0.05217391304347826
35591T,TURQUOISE CHRISTMAS TREE ,seasonal,5,93,0.05102040816326531,0.05235602094240838
23650,SET 10 CARDS FILIGREE BAUBLE 16961,gift/decorative,4,74,0.05128205128205128,0.05263157894736842
90036B,"FLOWER GLASS GARLAND NECKL.36""GREEN",home decor,4,74,0.05128205128205128,0.05263157894736842
90035C,"PEARL & SHELL 42""NECKL. IVORY",other,2,37,0.05128205128205128,0.05263157894736842
23634,SET 10 CARDS XMAS CHOIR 17068,gift/decorative,5,91,0.052083333333333336,0.053475935828877004
90037C,TINY CRYSTAL BRACELET BLUE,kitchen,5,91,0.052083333333333336,0.053475935828877004
20861,GOLD COSMETIC BAG PINK STAR,bags,2,36,0.05263157894736842,0.05405405405405406
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,home decor,4,71,0.05333333333333334,0.0547945205479452
37491D,PURPLE/BLUE CERAMIC CANDLE HOLDER,home decor,4,71,0.05333333333333334,0.0547945205479452
23605,SET 10 CARDS 12 DAYS OF XMAS 17059,gift/decorative,4,69,0.0547945205479452,0.056338028169014086
90053,CRACKED GLAZE EARRINGS IVORY,other,4,69,0.0547945205479452,0.056338028169014086
47574B,ENGLISH ROSE SCENTED HANGING HEART,home decor,4,68,0.05555555555555555,0.05714285714285714
90195B,BLACK GEMSTONE BRACELET,other,4,68,0.05555555555555555,0.05714285714285714
90136,PALE PINK/AMETHYST STONE NECKLACE,other,3,51,0.05555555555555555,0.05714285714285714
35609A,PINK FEATHER CHRISTMAS DECORATION,home decor,1,17,0.05555555555555555,0.05714285714285714
85031C,CURIOUS IMAGES SCRAP BOOK SET,sets,3,50,0.05660377358490566,0.05825242718446602
47593b,SCOTTIE DOGS BABY BIB,other,6,97,0.05825242718446602,0.06
85231b,CINAMMON SET OF 9 T-LIGHTS,home decor,3,48,0.058823529411764705,0.06060606060606061
21120,*Boombox Ipod Classic,home decor,1,16,0.058823529411764705,0.06060606060606061
90183c,BLACK DROP EARRINGS W LONG BEADS,other,1,16,0.058823529411764705,0.06060606060606061
90049,IVORY GOLD METAL BAG CHARM,bags,5,79,0.05952380952380952,0.06134969325153374
20678,LARGE BLACK DIAMANTE HAIRSLIDE,other,4,63,0.05970149253731343,0.06153846153846154
90141D,ROSE PENDANT TRIPLE SHELL NECKLACE,stationery,4,63,0.05970149253731343,0.06153846153846154
21827,EIGHT PIECE CREEPY CRAWLIE SET,sets,6,94,0.06,0.061855670103092786
90159,COTE D'AZURE NECKLACE,other,6,94,0.06,0.061855670103092786
90060F,FIRE POLISHED GLASS NECKL GREEN,kitchen,6,94,0.06,0.061855670103092786
23610,SET 10 CARDS CHRISTMAS ROBIN 17095,gift/decorative,3,47,0.06,0.061855670103092786
37330,BIG POLKADOT MUG,kitchen,6,92,0.061224489795918366,0.06315789473684211
37379A,PINK CHERRY BLOSSOM CUP & SAUCER,kitchen,6,92,0.061224489795918366,0.06315789473684211
23624,SET 10 CARD PERFECT NATIVITY 17089,gift/decorative,4,61,0.06153846153846154,0.06349206349206349
90196B,BLACK GEMSTONE NECKLACE 45CM,other,5,76,0.06172839506172839,0.06369426751592357
84613A,PINK NEW BAROQUE FLOCK CANDLESTICK,home decor,6,91,0.061855670103092786,0.06382978723404255
46776a,WOVEN BUBBLE GUM CUSHION COVER,other,5,75,0.0625,0.06451612903225806
37464,ROBOT MUG IN DISPLAY BOX,home decor,3,45,0.0625,0.06451612903225806
44265,M/COLOUR POM-POM CURTAIN,other,2,30,0.0625,0.06451612903225806
82613a,"METAL SIGN,CUPCAKE SINGLE HOOK",home decor,1,15,0.0625,0.06451612903225806
23621,SET 10 CARDS DAVID'S MADONNA 17074,gift/decorative,6,89,0.06315789473684211,0.06521739130434782
90141E,ORANGE PENDANT TRIPLE SHELL NECKLAC,stationery,5,74,0.06329113924050633,0.06535947712418301
90013D,PURPLE VINTAGE EARRINGS,other,6,88,0.06382978723404255,0.06593406593406594
23633,SET 10 CARDS WORLD CHILDREN 17067,gift/decorative,3,44,0.06382978723404255,0.06593406593406594
21836,GINGHAM OVEN GLOVE RED HEART ,home decor,5,73,0.0641025641025641,0.06622516556291391
22206,"MUG , DOTCOMGIFTSHOP.COM ",kitchen,5,73,0.0641025641025641,0.06622516556291391
23608,SET 10 CARDS RUDOLPHS NOSE 17097,gift/decorative,4,58,0.06451612903225806,0.06666666666666667
90156,RESIN BRACELET W PASTEL BEADS,other,4,58,0.06451612903225806,0.06666666666666667
90014C,SILVER/BLACK ORBIT NECKLACE,other,5,72,0.06493506493506493,0.06711409395973154
90179A,AMBER FINE BEAD NECKLACE W TASSEL,other,6,85,0.06593406593406594,0.06818181818181818
84632,DECORATIVE HANGING SHELVING UNIT,home decor,6,84,0.06666666666666667,0.06896551724137931
79157B,UBO-LIGHT TRIOBASE BLUE,home decor,4,56,0.06666666666666667,0.06896551724137931
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,home decor,2,28,0.06666666666666667,0.06896551724137931
84856L,LARGE TAHITI BEACH BAG,bags,2,28,0.06666666666666667,0.06896551724137931
85049b,LUSH GREENS RIBBONS,gift/decorative,2,28,0.06666666666666667,0.06896551724137931
90011E,AMBER CRYSTAL DROP EARRINGS,other,3,41,0.06818181818181818,0.07058823529411765
90180B,PURPLE AMETHYST NECKLACE W TASSEL,other,5,68,0.0684931506849315,0.07092198581560284
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,other,7,95,0.06862745098039216,0.07106598984771574
90011A,MIDNIGHT BLUE CRYSTAL DROP EARRINGS,other,6,81,0.06896551724137931,0.07142857142857142
90042C,FRESHWATER PEARL BRACELET IVORY,other,5,67,0.06944444444444445,0.07194244604316546
90123D,WHITE HEART OF GLASS BRACELET,home decor,6,80,0.06976744186046512,0.07228915662650602
37444B,BLUE BREAKFAST CUP AND SAUCER ,kitchen,4,53,0.07017543859649122,0.07272727272727272
90055,CRACKED GLAZE EARRINGS BROWN,other,5,66,0.07042253521126761,0.072992700729927
90001C,ANTIQUE OPAL WHITE FLOWER EARRINGS,home decor,5,66,0.07042253521126761,0.072992700729927
90152A,SILVER/NAT SHELL NECKLACE W PENDANT,stationery,5,66,0.07042253521126761,0.072992700729927
90039C,FIRE POLISHED GLASS BRACELET BLACK,kitchen,6,79,0.07058823529411765,0.07317073170731707
84201C,HAPPY BIRTHDAY CARD TEDDY/CAKE,kitchen,5,65,0.07142857142857142,0.07407407407407407
90176B,DIAMANTE NECKLACE BLACK ,other,4,52,0.07142857142857142,0.07407407407407407
90065B,BLACK VINT ART DEC CRYSTAL BRACELET,other,2,26,0.07142857142857142,0.07407407407407407
21160,KEEP OUT GIRLS DOOR HANGER ,home decor,1,13,0.07142857142857142,0.07407407407407407
84773,RED ROSE AND LACE C/COVER,other,3,38,0.07317073170731707,0.0759493670886076
90176A,CLASSIC DIAMANTE NECKLACE JET,other,3,38,0.07317073170731707,0.0759493670886076
23644,SET 10 CARDS CHRISTMAS TREE 16955,gift/decorative,5,63,0.07352941176470588,0.07633587786259542
23654,SET 10 CARD SNOWMAN 16965,gift/decorative,5,63,0.07352941176470588,0.07633587786259542
21895,POTTING SHED SOW 'N' GROW SET,kitchen,2,25,0.07407407407407407,0.07692307692307693
84499,BLACK FLOWER CANDLE PLATE,home decor,7,87,0.07446808510638298,0.07734806629834254
90001A,ANTIQUE RASPBERRY FLOWER EARRINGS,home decor,5,62,0.07462686567164178,0.07751937984496124
90151,SILVER/NATURAL SHELL NECKLACE,other,8,99,0.07476635514018691,0.07766990291262135
37491C,GREEN/BLUE CERAMIC CANDLE HOLDER,home decor,8,99,0.07476635514018691,0.07766990291262135
85231g,ORANGE SCENTED SET/9 T-LIGHTS,home decor,6,74,0.075,0.07792207792207792
85225,BLING KEY RING STAND,other,6,73,0.0759493670886076,0.07894736842105263
90179B,PURPLE FINE BEAD NECKLACE W TASSEL,other,3,36,0.07692307692307693,0.08
84596b,SMALL DOLLY MIX DESIGN ORANGE BOWL,home decor,7,83,0.07777777777777778,0.08092485549132948
90137,PINK COMBO MINI CRYSTALS NECKLACE,other,3,35,0.07894736842105263,0.0821917808219178
90025D,BAROQUE BUTTERFLY EARRINGS PINK,other,3,35,0.07894736842105263,0.0821917808219178
90024F,NEW BAROQUE B'FLY NECKLACE CRYSTAL,other,5,58,0.07936507936507936,0.08264462809917356
90039A,FIRE POLISHED GLASS BRACELET RED,kitchen,8,92,0.08,0.08333333333333333
23649,SET 10 CARDS DECK THE HALLS 16960,gift/decorative,2,23,0.08,0.08333333333333333
90078,PINK/WHITE GLASS DEMI CHOKER,kitchen,2,23,0.08,0.08333333333333333
90176C,DIAMANTE NECKLACE,other,3,34,0.08108108108108109,0.08450704225352113
90178A,AMBER CHUNKY GLASS+BEAD NECKLACE,kitchen,8,90,0.08163265306122448,0.0851063829787234
84593,CROCHET ROSE DES CLOTHES HANGER,home decor,5,56,0.08196721311475409,0.08547008547008547
84558a,3D DOG PICTURE PLAYING CARDS,home decor,5,56,0.08196721311475409,0.08547008547008547
20793,BLUE TILED TRAY,kitchen,8,88,0.08333333333333333,0.08695652173913043
90212C,PURPLE LAS VEGAS BRACELET ROUND,other,7,77,0.08333333333333333,0.08695652173913043
47518f,ICON PLACEMAT POP ART ELVIS,other,5,55,0.08333333333333333,0.08695652173913043
84509b,SET OF 4 FAIRY CAKE PLACEMATS,kitchen,5,55,0.08333333333333333,0.08695652173913043
90046,WHITE WITH METAL BAG CHARM,bags,3,33,0.08333333333333333,0.08695652173913043
84803A,PINK ALLIUM  ARTIFICIAL FLOWER,home decor,3,33,0.08333333333333333,0.08695652173913043
22323,PINK POLKADOT KIDS BAG,bags,1,11,0.08333333333333333,0.08695652173913043
21228,"POCKET MIRROR ""GLAMOROUS""",home decor,5,54,0.0847457627118644,0.08849557522123894
23612,SET 10 MINICARDS CUTE SNOWMAN 17071,gift/decorative,5,54,0.0847457627118644,0.08849557522123894
90155,RESIN NECKLACE W PASTEL BEADS,other,9,97,0.08490566037735849,0.08866995073891626
21763,VINTAGE WOODEN BAR STOOL,other,6,64,0.08571428571428572,0.08955223880597014
90060D,FIRE POLISHED GLASS NECKL BRONZE,kitchen,3,32,0.08571428571428572,0.08955223880597014
72807c,SET/3 VANILLA SCENTED CANDLE IN BOX,home decor,5,53,0.08620689655172414,0.09009009009009009
84802B,PURPLE ANEMONE ARTIFICIAL FLOWER,home decor,4,42,0.08695652173913043,0.09090909090909091
20820,SILVER LOOKING MIRROR,home decor,5,52,0.08771929824561403,0.09174311926605505
90179C,BLACK FINE BEAD NECKLACE W TASSEL,other,6,62,0.08823529411764706,0.09230769230769231
35645,VINTAGE BEAD PINK JEWEL BOX,home decor,4,41,0.08888888888888889,0.09302325581395349
84675,FROG KING WATERING CAN,other,9,91,0.09,0.09424083769633508
90027C,GLASS BEAD HOOP EARRINGS GREEN,kitchen,5,50,0.09090909090909091,0.09523809523809523
90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,other,4,40,0.09090909090909091,0.09523809523809523
20860,GOLD COSMETICS BAG WITH BUTTERFLY,bags,1,10,0.09090909090909091,0.09523809523809523
90176D,DIAMANTE NECKLACE PURPLE,other,7,69,0.09210526315789473,0.09655172413793103
90027A,GLASS BEAD HOOP EARRINGS BLACK,kitchen,6,59,0.09230769230769231,0.0967741935483871
90199B,5 STRAND GLASS NECKLACE AMETHYST,kitchen,9,88,0.09278350515463918,0.0972972972972973
